roll_no,project1,proof1,project2,proof2,project3,proof3,project4,proof4,project5,proof5
CB.EN.U4CSE17411,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17412,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17413,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17414,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17415,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17416,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17417,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17418,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17419,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17420,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17421,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17422,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17423,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17424,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17425,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17426,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17427,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17428,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17429,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17430,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17431,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17432,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17433,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17434,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17435,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17436,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17437,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17438,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17439,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17440,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17441,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17442,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17443,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17444,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17445,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17446,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17447,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17448,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17449,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17450,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17451,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17452,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17453,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17454,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17455,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17456,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17457,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17458,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17459,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17460,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17461,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17462,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17463,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17464,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17465,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17466,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17467,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17468,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17469,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
CB.EN.U4CSE17470,Student Profile Manager,https://github.com/arjun-prs/Student_Profile_Manager,Fake News Detector,https://github.com/arjun-prs/Final_year_project,Smart Attendance Manager System,https://github.com/arjun-prs/AttendanceManagerOffline,DataBooze,https://github.com/arjun-prs/dataBooze,Qmegle,https://github.com/arjun-prs/Qmegle
